261 13 829.00 0.15119530
235 13 848.83 0.16583343
237 14 848.83 0.15694243
241 9 843.33 0.16737172
243 7 842.67 0.15386282
250 16 834.50 0.15833631
252 11 843.00 0.17871708
253 10 827.83 0.23032494
253 15 834.00 0.18599407
254 10 842.50 0.17047784
255 16 833.67 0.18802433
256 16 842.17 0.21085928
256 18 834.00 0.18235220
257 9 833.83 0.21056151
257 12 828.83 0.26101235
258 12 850.00 0.19922256
258 17 842.00 0.21164955
259 10 833.83 0.21214592
259 10 841.83 0.17250824
260 17 849.67 0.20343368
261 11 833.83 0.20889209
261 13 829.00 0.26779976
261 16 841.33 0.20909446
262 10 833.00 0.21253911
262 16 842.50 0.19975495
274 11 849.17 0.16418743
278 14 833.50 0.21076232
278 16 833.33 0.20747606
282 13 833.83 0.22756065
235 13 848.83 0.17065431
237 14 848.83 0.16559619
241 8 843.00 0.15489309
241 9 843.33 0.16906719
243 9 843.50 0.15919025
250 16 834.50 0.15289338
251 14 833.83 0.18000321
252 11 843.00 0.17382495
252 17 834.33 0.15821594
253 15 833.83 0.18665963
254 9 827.67 0.21922167
254 10 842.50 0.16652799
254 18 834.00 0.16932590
255 16 833.67 0.18609381
256 16 842.00 0.20921658
257 16 849.50 0.16421996
258 12 849.83 0.17310239
258 17 841.83 0.21108450
259 10 841.83 0.17110375
260 14 841.83 0.20857207
260 17 849.67 0.19593686
261 13 828.83 0.26613334
261 17 841.33 0.20636199
262 10 833.33 0.21745087
276 17 833.33 0.18464574
277 14 834.83 0.15093216
281 12 833.83 0.21514603
215 8 825.50 0.15774550
233 12 848.67 0.20996447
